organization,latitude,longitude,source
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
"다온유치원",37.7219811775,126.7537705018,gyeonggi_kinder
"동문한우리유치원",37.7271764511,126.8183777552,gyeonggi_kinder
"운광초등학교병설유치원",37.7095710389,126.7412112326,gyeonggi_kinder
"학이유치원",37.8598349181,126.7976389058,gyeonggi_kinder
"두일유치원",37.7201155648,126.7135767911,gyeonggi_kinder
